File                                                                                       Status
----                                                                                       ------
typechecker/configurable/PASS_basic_type                                                   BC generated
typechecker/configurable/PASS_basic_pointer_array                                          BC failed
typechecker/configurable/PASS_basic_typedef                                                BC generated
typechecker/configurable/PASS_basic_pointers                                               BC generated
typechecker/configurable/declList                                                          BC generated
typechecker/configurable/PASS_impossibleTypedef                                            BC generated
typechecker/configurable/PASS_basic_decl                                                   BC generated
typechecker/configurable/PASS_basic_init                                                   BC generated
typechecker/configurable/PASS_mutuallyExclusiveTypedefs                                    BC generated
typechecker/configurable/PASS_impossibleTypedef2                                           BC generated
typechecker/configurable/PASS_basic_statement                                              BC generated
typechecker/functions/PASS_multipleConfigs                                                 BC generated
typechecker/functions/PASS_configParam                                                     BC generated
typechecker/functions/PASS_conditionalParams                                               BC generated
typechecker/functions/PASS_basicFunctions                                                  BC generated
typechecker/functions/PASS_valid_type_function                                             BC generated
typechecker/functions/PASS_void_abstract_functions                                         BC generated
typechecker/functions/function_pointer                                                     BC generated
typechecker/functions/PASS_typedefParams                                                   BC generated
typechecker/functions/PASS_invalid_type_function                                           BC generated
typechecker/functions/PASS_abstractParam                                                   BC generated
typechecker/examples/test_struct                                                           BC generated
typechecker/examples/PASS_partial_redeclaration1                                           BC generated
typechecker/examples/scope_partial_declaration2                                            BC generated
typechecker/examples/undeclared_identifer                                                  SuperC failed
typechecker/examples/undeclared_identifer                                                  BC failed
typechecker/examples/PASS_partial_redeclaration2                                           BC generated
typechecker/examples/PASS_global_redef_invalid                                             BC generated
typechecker/examples/malloc_const_void_ptr                                                 BC generated
typechecker/examples/PASS_valid_signed_unsigned                                            BC generated
typechecker/examples/volatile_abstract_declarator                                          BC generated
typechecker/examples/PASS_valid_long                                                       BC generated
typechecker/examples/typedef_stdio                                                         BC generated
typechecker/examples/PASS_missing_types_valid_qualifiers                                   BC generated
typechecker/examples/PASS_invalid_qualifiers                                               BC generated
typechecker/examples/PASS_staticint                                                        BC generated
typechecker/examples/PASS_invalid_signed_unsigned                                          BC generated
typechecker/examples/PASS_no_redeclaration                                                 BC generated
typechecker/examples/PASS_noIdentifier                                                     SuperC failed
typechecker/examples/PASS_noIdentifier                                                     BC failed
typechecker/examples/PASS_invalid_duplicate_qualifiers                                     BC generated
typechecker/examples/PASS_valid_qualifiers                                                 BC generated
typechecker/examples/scope_partial_declaration1                                            BC generated
typechecker/examples/PASS_global_redef_valid                                               BC generated
typechecker/examples/test_struct_prohibit_initializer                                      SuperC failed
typechecker/examples/test_struct_prohibit_initializer                                      BC failed
typechecker/examples/PASS_valid_complex                                                    BC generated
typechecker/examples/PASS_seentypes                                                        BC generated
typechecker/examples/PASS_valid_duplicate_qualifiers                                       BC generated
typechecker/examples/PASS_invalid_long                                                     BC generated
typechecker/examples/typedef                                                               BC generated
typechecker/examples/typedefname_with_qualifer                                             BC generated
typechecker/declarators/PASS_valid_void_typedef                                            BC generated
typechecker/declarators/PASS_valid_typedef_ident                                           BC generated
typechecker/declarators/PASS_void_typedef                                                  BC generated
typechecker/declarators/PASS_invalid_typedefs                                              SuperC failed
typechecker/declarators/PASS_invalid_typedefs                                              BC failed
typechecker/declarators/PASS_valid_typedef                                                 BC generated
typechecker/declarators/PASS_valid_Array_Pointer                                           BC generated
typechecker/declarators/PASS_valid_decl_quals                                              BC generated
typechecker/declarators/PASS_valid_array_implicit_length                                   BC generated
typechecker/declarators/invalid_typedef                                                    BC generated
typechecker/declarators/invalid_Array_Pointer                                              SuperC failed
typechecker/declarators/invalid_Array_Pointer                                              BC failed
typechecker/declarators/PASS_paren                                                         BC generated
typechecker/declarators/PASS_valid_array_with_init                                         BC generated
typechecker/struct/tagged                                                                  BC generated
typechecker/struct/selfref                                                                 BC generated
